,year,brand,funny,show_product_quickly,patriotic,celebrity,danger,animals,use_sex,view_count,like_count,dislike_count,comment_count,published_at,title,likes_per_view,dislikes_per_view,comment_per_view
124,2011,Doritos,True,True,False,False,True,True,False,122388.0,561.0,8.0,25.0,2011-06-20T23:59:47Z,Doritos pug attack commercial original,0.46,0.01,0.02
125,2005,Bud Light,True,False,False,False,False,False,False,16997.0,69.0,3.0,2.0,2021-01-15T17:41:05Z,Bud Light Legends - Skydiver,0.41,0.02,0.01
127,2014,Doritos,True,True,False,False,False,True,False,7952240.0,18729.0,1430.0,607.0,2013-11-17T22:52:21Z,Doritos Time Machine - Crash the Super Bowl 2014 WINNER OFFICIAL,0.24,0.02,0.01
128,2008,Bud Light,True,False,False,False,False,False,False,555734.0,414.0,58.0,45.0,2008-02-01T22:05:19Z,Bud Light Wine & Cheese Party Commercial,0.07,0.01,0.01
129,2012,Pepsi,False,True,False,True,False,False,False,582575.0,1526.0,138.0,304.0,2012-02-03T16:36:54Z,Super Bowl 2012 Commercial: Pepsi - King's Court,0.26,0.02,0.05
130,2012,Doritos,True,False,False,False,True,True,False,86928.0,130.0,12.0,6.0,2014-11-06T15:01:28Z,Doritos Crash the Superbowl Winner 2012 - Man's Best Friend,0.15,0.01,0.01
131,2012,Toyota,True,True,False,False,True,True,True,116294.0,1153.0,13.0,56.0,2012-02-05T18:28:12Z,Toyota Camry 2012 Super Bowl Commercial shows Reinvented Possibilities,0.99,0.01,0.05
133,2002,Bud Light,True,True,False,False,True,True,True,3548.0,13.0,0.0,0.0,2017-12-26T08:00:04Z,Bud Light - Hawk Superbowl XXXVI Commercial,0.37,0.0,0.0
134,2002,Bud Light,True,False,False,False,True,False,False,63129.0,178.0,5.0,15.0,2008-05-29T10:34:49Z,Bud Light Battle Bot commercial,0.28,0.01,0.02
136,2008,Bud Light,True,True,False,False,True,True,False,24595.0,26.0,3.0,5.0,2008-02-04T01:12:21Z,Budweiser breath fire superbowl commercial,0.11,0.01,0.02
137,2012,Coca-Cola,False,True,False,False,False,True,False,15776.0,63.0,4.0,2.0,2013-05-25T19:32:12Z,Coke Coca Cola Polar Bears Super Bowl Open Happiness Campaign 'Argh' TVC Commercial Advert in 2012,0.4,0.03,0.01
138,2004,Pepsi,True,True,False,False,False,False,False,55676.0,222.0,9.0,26.0,2010-03-14T17:56:01Z,Jimi Hendrix Pepsi Vs Coca Cola Commercial,0.4,0.02,0.05
139,2010,Doritos,True,True,False,False,True,True,False,132054.0,273.0,18.0,15.0,2010-02-08T01:33:11Z,"Doritos SuperBowl Commercial - ""Dog Shock Collar""",0.21,0.01,0.01
140,2012,Kia,True,False,False,True,False,False,True,56257.0,396.0,5.0,42.0,2012-02-14T13:28:18Z,A Dream Car. For Real Life - 2012 Kia Optima Big Game Full Commercial - Extended Version,0.7,0.01,0.07
141,2012,NFL,False,True,False,True,False,False,False,403641.0,1980.0,42.0,206.0,2012-02-03T23:55:12Z,NFL Timeline,0.49,0.01,0.05
